#{"t_start": 1680170597.424357, "env_id": "MiniGrid-Fetch-5x5-N2-v0"}
r,l,t
0.7984,28,159.094571
0,15,159.132329
0,9,159.155273
0.928,10,159.180979
0.9928,1,159.183834
0,1,159.186737
0.9784,3,159.195735
0.8344,23,159.252439
0.9856,2,159.258011
0,125,160.162939
0.8632,19,160.211982
0,3,160.220186
0.9856,2,160.22622
0.9712,4,160.237728
0,110,161.096685
0.9856,2,161.101898
0.9568,6,161.117578
0.2584,103,161.965407
0,5,161.977672
0,3,161.985682
0,17,162.0275
0,6,162.043742
0,2,162.048863
0.9928,1,162.052782
0.424,80,162.849825
0.9784,3,162.858535
0,10,162.886053
0,125,163.805037
0.9136,12,163.836542
0.8704,18,163.882798
0,4,163.893551
0,17,163.939129
0.9856,2,164.524912
0,1,164.527777
0,26,164.604454
0.7192,39,164.703683
0.8632,19,164.751116
0,4,164.761522
0.9064,13,164.794878
0,8,164.815912
0.8488,21,165.458793
0,2,165.464253
0,34,165.550263
0,52,165.687455
0,3,165.695528
0,125,166.601552
0.9712,4,166.611545
0,3,166.619641
0,12,166.64902
0.9856,2,166.654318
0,4,166.665009
0.9784,3,166.673323
0,4,166.683856
0.9784,3,166.691457
0,27,167.346064
0,4,167.357136
0,3,167.364863
0.8704,18,167.41199
0.9928,1,167.415019
0.9784,3,167.423565
0.9784,3,167.431515
0.9496,7,167.448808
0,45,167.559994
0.2512,104,168.416413
0,125,169.321671
0,8,169.341547
0.9928,1,169.344167
0,1,169.347233
0,11,169.374639
0,2,169.380444
0.9712,4,169.391866
0.9208,11,169.420208
0,12,170.035973
0.928,10,170.059696
0.9928,1,170.062728
0.9496,7,170.079788
0,5,170.092216
0.928,10,170.116425
0.9784,3,170.124059
0.9064,13,170.156435
0,1,170.159613
0.964,5,170.171672
0.9928,1,170.17483
0,7,170.192621
0.9856,2,170.197922
0,8,170.219027
0.9784,3,170.227821
0.9712,4,170.238705
0,3,170.246392
0.964,5,170.25955
0.5464,63,170.998969
0.9928,1,171.001606
0.1576,117,171.875884
0,3,171.883793
0.964,5,171.896191
0,3,171.904292
0,106,172.74343
0,125,173.636458
0.5248,66,173.804592
0.9712,4,173.814735
0,20,173.866623
0.9064,13,173.900243
0,8,173.921841
0.9784,3,173.929948
0,22,174.568033
0,5,174.580603
0,3,174.58848
0,9,174.612094
0,14,174.649568
0.8632,19,174.698319
0,1,174.701097
0,3,174.709553
0.9352,9,174.731048
0.964,5,174.743564
0,11,174.769837
0,125,175.653527
0.9856,2,175.659603
0,3,175.667094
0,42,176.352701
0.964,5,176.365254
0.9712,4,176.375898
0.9784,3,176.384099
0,125,177.272679
0.9784,3,177.280931
0.9784,3,177.288211
0,20,177.340698
0.9496,7,177.359881
0,33,177.443782
0.9784,3,177.452231
0.9352,9,177.475114
0.964,5,177.488252
0,125,178.637587
0,52,179.346465
0,125,180.256868
0.9424,8,180.277471
0.9568,6,180.293813
0,5,180.307826
0,2,180.3137
0,10,180.338652
0,3,180.347166
0.9712,4,180.358184
0,11,180.385688
0,4,180.396745
0,1,180.399496
0,30,180.475594
0.5248,66,181.227428
0.9568,6,181.242525
0.4312,79,181.43967
0.9712,4,181.449995
0.9496,7,182.045011
0.9568,6,182.05939
0,7,182.077379
0.9352,9,182.101037
0.8992,14,182.137704
0,2,182.143394
0.9784,3,182.151044
0.9712,4,182.162485
0.9784,3,182.17081
0.9856,2,182.17634
0.9496,7,182.19519
0.928,10,182.222549
0.9856,2,182.227736
0.9928,1,182.23104
0.9784,3,182.239939
0.7552,34,182.327678
0.9928,1,182.331568
0.9568,6,182.347925
0,1,182.35054
0,125,183.249896
0.9712,4,183.260511
0.9928,1,183.263973
0.964,5,183.856403
0.9352,9,183.879357
0.9352,9,183.900801
0,35,183.985095
0,10,184.009866
